iRnd(i)	iClass(i)	iLoc(i)	iCurs(i)	itype(i)	iItemId(i)	iName(s)	iSName(s)	iMinMLvl(i)	iDurability(i)	iMinDam(i)	iMaxDam(i)	iMinAC(i)	iMaxAC(i)	iMinStr(i)	iMinMag(i)	iMinDex(i)	iFlags(i)	iMiscId(i)	iSpell(i)	iUsable(i)	iValue(i)	iMaxValue(i)
IDROP_NEVER	ICLASS_MISC	ILOC_UNEQUIPABLE	17	0	UITYPE_ELIXIR	Golden Elixir	NULL	15	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_QUEST	ILOC_UNEQUIPABLE	140	0	UITYPE_NONE	Anvil of Fury	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_QUEST	ILOC_UNEQUIPABLE	89	0	UITYPE_NONE	Black Mushroom	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_QUEST	ILOC_UNEQUIPABLE	40	0	UITYPE_NONE	Brain	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_QUEST	ILOC_UNEQUIPABLE	97	0	UITYPE_NONE	Fungal Tome	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_MISC	ILOC_UNEQUIPABLE	15	0	UITYPE_ELIXIR	Spectral Elixir	NULL	15	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_SPECELIX	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_QUEST	ILOC_UNEQUIPABLE	25	0	UITYPE_NONE	Blood Stone	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_QUEST	ILOC_UNEQUIPABLE	96	0	UITYPE_MAPOFDOOM	Map of the Stars	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_MAPOFDOOM	SPL_NULL	1	0	0
IDROP_NEVER	ICLASS_QUEST	ILOC_UNEQUIPABLE	19	0	UITYPE_NONE	Heart	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_EAR	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_MISC	ILOC_UNEQUIPABLE	32	0	UITYPE_NONE	Potion of Healing	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_HEAL	SPL_NULL	1	50	50
IDROP_NEVER	ICLASS_MISC	ILOC_UNEQUIPABLE	39	0	UITYPE_NONE	Potion of Mana	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_MANA	SPL_NULL	1	50	50
IDROP_NEVER	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Identify	NULL	1	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_SCROLL	SPL_IDENTIFY	1	200	200
IDROP_NEVER	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Town Portal	NULL	4	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_SCROLL	SPL_TOWN	1	200	200
IDROP_NEVER	ICLASS_ARMOR	ILOC_ARMOR	157	8	UITYPE_ARMOFVAL	Arkaine's Valor	NULL	0	40	0	0	0	0	0	0	0	ISPL_NONE	IMISC_UNIQUE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_MISC	ILOC_UNEQUIPABLE	35	0	UITYPE_NONE	Potion of Full Healing	NULL	1	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_FULLHEAL	SPL_NULL	1	150	150
IDROP_NEVER	ICLASS_MISC	ILOC_UNEQUIPABLE	0	0	UITYPE_NONE	Potion of Full Mana	NULL	1	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_FULLMANA	SPL_NULL	1	150	150
IDROP_NEVER	ICLASS_WEAPON	ILOC_ONEHAND	61	1	UITYPE_GRISWOLD	Griswold's Edge	NULL	8	50	4	12	0	0	40	0	0	ISPL_NONE	IMISC_UNIQUE	SPL_NULL	0	750	750
IDROP_NEVER	ICLASS_WEAPON	ILOC_ONEHAND	59	4	UITYPE_LGTFORGE	Lightforge	NULL	2	32	1	8	0	0	16	0	0	ISPL_NONE	IMISC_UNIQUE	SPL_NULL	0	200	200
IDROP_NEVER	ICLASS_MISC	ILOC_UNEQUIPABLE	155	0	UITYPE_LAZSTAFF	Staff of Lazarus	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Resurrect	NULL	1	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_SCROLLT	SPL_RESURRECT	1	250	250
IDROP_NEVER	ICLASS_NONE	ILOC_NONE	0	0	UITYPE_NONE	NULL	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_NONE	ILOC_NONE	0	0	UITYPE_NONE	NULL	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_NONE	ILOC_NONE	0	0	UITYPE_NONE	NULL	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_NONE	ILOC_NONE	0	0	UITYPE_NONE	NULL	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_NONE	ILOC_NONE	0	0	UITYPE_NONE	NULL	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_NONE	ILOC_NONE	0	0	UITYPE_NONE	NULL	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_NONE	ILOC_NONE	0	0	UITYPE_NONE	NULL	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_NONE	ILOC_NONE	0	0	UITYPE_NONE	NULL	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_NONE	ILOC_NONE	0	0	UITYPE_NONE	NULL	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_NONE	ILOC_NONE	0	0	UITYPE_NONE	NULL	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_NONE	ILOC_NONE	0	0	UITYPE_NONE	NULL	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_NONE	ILOC_NONE	0	0	UITYPE_NONE	NULL	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_NEVER	ICLASS_NONE	ILOC_NONE	0	0	UITYPE_NONE	NULL	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_REGULAR	ICLASS_ARMOR	ILOC_HELM	91	7	UITYPE_NONE	Cap	Cap	1	15	0	0	1	3	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	15	20
IDROP_REGULAR	ICLASS_ARMOR	ILOC_HELM	90	7	UITYPE_SKULLCAP	Skull Cap	Cap	4	20	0	0	2	4	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	25	30
IDROP_REGULAR	ICLASS_ARMOR	ILOC_HELM	82	7	UITYPE_HELM	Helm	Helm	8	30	0	0	4	6	25	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	40	70
IDROP_REGULAR	ICLASS_ARMOR	ILOC_HELM	75	7	UITYPE_NONE	Full Helm	Helm	12	35	0	0	6	8	35	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	90	130
IDROP_REGULAR	ICLASS_ARMOR	ILOC_HELM	95	7	UITYPE_CROWN	Crown	Crown	16	40	0	0	8	12	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	200	300
IDROP_REGULAR	ICLASS_ARMOR	ILOC_HELM	98	7	UITYPE_GREATHELM	Great Helm	Helm	20	60	0	0	10	15	50	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	400	500
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ARMOR	150	6	UITYPE_CAPE	Cape	Cape	1	12	0	0	1	5	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	10	50
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ARMOR	128	6	UITYPE_RAGS	Rags	Rags	1	6	0	0	2	6	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	5	25
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ARMOR	149	6	UITYPE_CLOAK	Cloak	Cloak	2	18	0	0	3	7	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	40	70
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ARMOR	137	6	UITYPE_ROBE	Robe	Robe	3	24	0	0	4	7	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	75	125
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ARMOR	129	6	UITYPE_NONE	Quilted Armor	Armor	4	30	0	0	7	10	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	200	300
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ARMOR	135	6	UITYPE_LEATHARMOR	Leather Armor	Armor	6	35	0	0	10	13	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	300	400
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ARMOR	127	6	UITYPE_NONE	Hard Leather Armor	Armor	7	40	0	0	11	14	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	450	550
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ARMOR	107	6	UITYPE_STUDARMOR	Studded Leather Armor	Armor	9	45	0	0	15	17	20	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	700	800
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ARMOR	154	8	UITYPE_NONE	Ring Mail	Mail	11	50	0	0	17	20	25	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	900	1100
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ARMOR	111	8	UITYPE_CHAINMAIL	Chain Mail	Mail	13	55	0	0	18	22	30	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	1250	1750
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ARMOR	114	8	UITYPE_NONE	Scale Mail	Mail	15	60	0	0	23	28	35	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	2300	2800
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ARMOR	153	9	UITYPE_BREASTPLATE	Breast Plate	Plate	16	80	0	0	20	24	40	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	2800	3200
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ARMOR	136	8	UITYPE_NONE	Splint Mail	Mail	17	65	0	0	30	35	40	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	3250	3750
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ARMOR	103	9	UITYPE_PLATEMAIL	Plate Mail	Plate	19	75	0	0	42	50	60	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	4600	5400
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ARMOR	103	9	UITYPE_NONE	Field Plate	Plate	21	80	0	0	40	45	65	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	5800	6200
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ARMOR	152	9	UITYPE_NONE	Gothic Plate	Plate	23	100	0	0	50	60	80	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	8000	10000
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ARMOR	151	9	UITYPE_FULLPLATE	Full Plate Mail	Plate	25	90	0	0	60	75	90	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	6500	8000
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ONEHAND	83	5	UITYPE_BUCKLER	Buckler	Shield	1	16	0	0	1	5	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	30	70
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ONEHAND	105	5	UITYPE_SMALLSHIELD	Small Shield	Shield	5	24	0	0	3	8	25	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	90	130
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ONEHAND	147	5	UITYPE_LARGESHIELD	Large Shield	Shield	9	32	0	0	5	10	40	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	200	300
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ONEHAND	113	5	UITYPE_KITESHIELD	Kite Shield	Shield	14	40	0	0	8	15	50	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	400	700
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ONEHAND	132	5	UITYPE_GOTHSHIELD	Tower Shield	Shield	20	50	0	0	12	20	60	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	850	1200
IDROP_REGULAR	ICLASS_ARMOR	ILOC_ONEHAND	148	5	UITYPE_GOTHSHIELD	Gothic Shield	Shield	23	60	0	0	14	18	80	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	2300	2700
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	32	0	UITYPE_NONE	Potion of Healing	NULL	1	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_HEAL	SPL_NULL	1	50	50
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	35	0	UITYPE_NONE	Potion of Full Healing	NULL	1	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_FULLHEAL	SPL_NULL	1	150	150
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	39	0	UITYPE_NONE	Potion of Mana	NULL	1	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_MANA	SPL_NULL	1	50	50
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	0	0	UITYPE_NONE	Potion of Full Mana	NULL	1	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_FULLMANA	SPL_NULL	1	150	150
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	37	0	UITYPE_NONE	Potion of Rejuvenation	NULL	3	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_REJUV	SPL_NULL	1	120	120
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	33	0	UITYPE_NONE	Potion of Full Rejuvenation	NULL	7	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_FULLREJUV	SPL_NULL	1	600	600
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	38	0	UITYPE_NONE	Elixir of Strength	NULL	15	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_ELIXSTR	SPL_NULL	1	5000	5000
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	34	0	UITYPE_NONE	Elixir of Magic	NULL	15	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_ELIXMAG	SPL_NULL	1	5000	5000
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	36	0	UITYPE_NONE	Elixir of Dexterity	NULL	15	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_ELIXDEX	SPL_NULL	1	5000	5000
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	31	0	UITYPE_NONE	Elixir of Vitality	NULL	20	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_ELIXVIT	SPL_NULL	1	5000	5000
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Healing	NULL	1	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_SCROLL	SPL_HEAL	1	50	50
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Lightning	NULL	4	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_SCROLLT	SPL_LIGHTNING	1	150	150
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Identify	NULL	1	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_SCROLL	SPL_IDENTIFY	1	100	100
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Resurrect	NULL	1	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_SCROLLT	SPL_RESURRECT	1	250	250
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Fire Wall	NULL	4	0	0	0	0	0	0	17	0	ISPL_NONE	IMISC_SCROLLT	SPL_FIREWALL	1	400	400
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Inferno	NULL	1	0	0	0	0	0	0	19	0	ISPL_NONE	IMISC_SCROLLT	SPL_FLAME	1	100	100
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Town Portal	NULL	4	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_SCROLL	SPL_TOWN	1	200	200
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Flash	NULL	6	0	0	0	0	0	0	21	0	ISPL_NONE	IMISC_SCROLLT	SPL_FLASH	1	500	500
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Infravision	NULL	8	0	0	0	0	0	0	23	0	ISPL_NONE	IMISC_SCROLL	SPL_INFRA	1	600	600
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Phasing	NULL	6	0	0	0	0	0	0	25	0	ISPL_NONE	IMISC_SCROLL	SPL_RNDTELEPORT	1	200	200
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Mana Shield	NULL	8	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_SCROLL	SPL_MANASHIELD	1	1200	1200
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Flame Wave	NULL	10	0	0	0	0	0	0	29	0	ISPL_NONE	IMISC_SCROLLT	SPL_WAVE	1	650	650
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Fireball	NULL	8	0	0	0	0	0	0	31	0	ISPL_NONE	IMISC_SCROLLT	SPL_FIREBALL	1	300	300
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Stone Curse	NULL	6	0	0	0	0	0	0	33	0	ISPL_NONE	IMISC_SCROLLT	SPL_STONE	1	800	800
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Chain Lightning	NULL	10	0	0	0	0	0	0	35	0	ISPL_NONE	IMISC_SCROLLT	SPL_CHAIN	1	750	750
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Guardian	NULL	12	0	0	0	0	0	0	47	0	ISPL_NONE	IMISC_SCROLLT	SPL_GUARDIAN	1	950	950
IDROP_NEVER	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Non Item	NULL	0	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	0	0
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Nova	NULL	14	0	0	0	0	0	0	57	0	ISPL_NONE	IMISC_SCROLL	SPL_NOVA	1	1300	1300
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Golem	NULL	10	0	0	0	0	0	0	51	0	ISPL_NONE	IMISC_SCROLLT	SPL_GOLEM	1	1100	1100
IDROP_NEVER	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of None	NULL	99	0	0	0	0	0	0	61	0	ISPL_NONE	IMISC_SCROLLT	SPL_NULL	1	1000	1000
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Teleport	NULL	14	0	0	0	0	0	0	81	0	ISPL_NONE	IMISC_SCROLL	SPL_TELEPORT	1	3000	3000
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	1	0	UITYPE_NONE	Scroll of Apocalypse	NULL	22	0	0	0	0	0	0	117	0	ISPL_NONE	IMISC_SCROLL	SPL_APOCA	1	2000	2000
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	88	0	UITYPE_NONE	Book of 	NULL	2	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_BOOK	SPL_NULL	1	0	0
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	88	0	UITYPE_NONE	Book of 	NULL	8	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_BOOK	SPL_NULL	1	0	0
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	88	0	UITYPE_NONE	Book of 	NULL	14	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_BOOK	SPL_NULL	1	0	0
IDROP_REGULAR	ICLASS_MISC	ILOC_UNEQUIPABLE	88	0	UITYPE_NONE	Book of 	NULL	20	0	0	0	0	0	0	0	0	ISPL_NONE	IMISC_BOOK	SPL_NULL	1	0	0
IDROP_REGULAR	ICLASS_WEAPON	ILOC_ONEHAND	51	1	UITYPE_DAGGER	Dagger	Dagger	1	16	1	4	0	0	0	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	60	60
IDROP_REGULAR	ICLASS_WEAPON	ILOC_ONEHAND	64	1	UITYPE_NONE	Short Sword	Sword	1	24	2	6	0	0	18	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	120	120
IDROP_REGULAR	ICLASS_WEAPON	ILOC_ONEHAND	62	1	UITYPE_FALCHION	Falchion	Sword	2	20	4	8	0	0	30	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	250	250
IDROP_REGULAR	ICLASS_WEAPON	ILOC_ONEHAND	72	1	UITYPE_SCIMITAR	Scimitar	Sword	4	28	3	7	0	0	23	0	23	ISPL_NONE	IMISC_NONE	SPL_NULL	0	200	200
IDROP_REGULAR	ICLASS_WEAPON	ILOC_ONEHAND	65	1	UITYPE_CLAYMORE	Claymore	Sword	5	36	1	12	0	0	35	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	450	450
IDROP_REGULAR	ICLASS_WEAPON	ILOC_ONEHAND	56	1	UITYPE_NONE	Blade	Blade	4	30	3	8	0	0	25	0	30	ISPL_NONE	IMISC_NONE	SPL_NULL	0	280	280
IDROP_REGULAR	ICLASS_WEAPON	ILOC_ONEHAND	67	1	UITYPE_SABRE	Sabre	Sabre	1	45	1	8	0	0	17	0	0	ISPL_NONE	IMISC_NONE	SPL_NULL	0	170	170
