#mName(i)	mAddProc(p)	mProc(p)	mDraw(i)	mType(i)	mResist(i)	mFileNum(i)	mlSFX(i)	miSFX(i)
MIS_FLAME	AddFlame	MI_Flame	1	1	1	MFILE_INFERNO	LS_SPOUTSTR	-1
MIS_FLAMEC	AddFlamec	MI_Flamec	0	1	1	255	-1	-1
MIS_NULL_32	miss_null_32	mi_null_32	1	2	0	255	-1	-1
MIS_NULL_33	miss_null_33	mi_null_33	1	0	1	MFILE_KRULL	-1	-1
MIS_CBOLT	AddCbolt	MI_Cbolt	1	1	2	MFILE_MINILTNG	LS_CBOLT	-1
MIS_HBOLT	AddHbolt	MI_Hbolt	1	1	0	MFILE_HOLY	LS_HOLYBOLT	LS_ELECIMP1
MIS_RESURRECT	AddResurrect	MI_Dummy	0	1	3	255	-1	LS_RESUR
MIS_TELEKINESIS	AddTelekinesis	MI_Dummy	0	1	0	255	LS_ETHEREAL	-1
MIS_LARROW	AddLArrow	MI_LArrow	1	0	2	MFILE_LARROW	-1	-1
MIS_ACID	AddAcid	MI_Firebolt	1	1	4	MFILE_ACIDBF	LS_ACID	-1
MIS_MISEXP3	AddMisexp	MI_Acidsplat	1	2	4	MFILE_ACIDSPLA	-1	-1
MIS_ACIDPUD	AddAcidpud	MI_Acidpud	1	2	4	MFILE_ACIDPUD	LS_PUDDLE	-1
MIS_HEALOTHER	AddHealOther	MI_Dummy	0	1	0	255	-1	-1
MIS_ELEMENT	AddElement	MI_Element	1	1	1	MFILE_FIRERUN	LS_ELEMENTL	-1
MIS_RESURRECTBEAM	AddResurrectBeam	MI_ResurrectBeam	1	1	0	MFILE_RESSUR1	-1	-1
MIS_BONESPIRIT	AddBoneSpirit	MI_Bonespirit	1	1	3	MFILE_SKLBALL	LS_BONESP	LS_BSIMPCT
MIS_WEAPEXP	AddWeapexp	MI_Weapexp	1	2	0	255	-1	-1
MIS_RPORTAL	AddRportal	MI_Rportal	1	2	0	MFILE_RPORTAL	LS_SENTINEL	LS_ELEMENTL
MIS_BOOM2	AddBoom	MI_Boom	1	2	0	MFILE_FIREPLAR	-1	-1
MIS_DIABAPOCA	AddDiabApoca	MI_Dummy	0	2	0	255	-1	-1
